 -0.3000E+02  0.1073E+01
 -0.2833E+02  0.8786E+00
 -0.2667E+02  0.9046E+00
 -0.2500E+02  0.9219E+00
 -0.2333E+02  0.9351E+00
 -0.2167E+02  0.9460E+00
 -0.2000E+02  0.9551E+00
 -0.1833E+02  0.9627E+00
 -0.1667E+02  0.9691E+00
 -0.1500E+02  0.9744E+00
 -0.1333E+02  0.9787E+00
 -0.1167E+02  0.9823E+00
 -0.1000E+02  0.9851E+00
 -0.8333E+01  0.9872E+00
 -0.6667E+01  0.9889E+00
 -0.5000E+01  0.9900E+00
 -0.3333E+01  0.9906E+00
 -0.1667E+01  0.9909E+00
  0.5730E+00  0.9907E+00
  0.1667E+01  0.9905E+00
  0.3333E+01  0.9898E+00
  0.5000E+01  0.9889E+00
  0.6667E+01  0.9878E+00
  0.8333E+01  0.9865E+00
  0.1000E+02  0.9851E+00
  0.1167E+02  0.9835E+00
  0.1333E+02  0.9818E+00
  0.1500E+02  0.9801E+00
  0.1667E+02  0.9782E+00
  0.1833E+02  0.9764E+00
  0.2000E+02  0.9745E+00
  0.2167E+02  0.9725E+00
  0.2333E+02  0.9706E+00
  0.2500E+02  0.9686E+00
  0.2667E+02  0.9666E+00
  0.2833E+02  0.9646E+00
  0.3000E+02  0.9626E+00
