# Element-by-element rates at equilibrium at full current
           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
       9.50000   -1.4290E-32   -4.7385E-39   -2.2665E-36
       9.60000   -1.4314E-32   -4.9243E-39   -2.2328E-36
       9.70000   -1.4338E-32   -5.1132E-39   -2.2003E-36
       9.80000   -1.4363E-32   -5.3055E-39   -2.1690E-36
       9.90000   -1.4387E-32   -5.5013E-39   -2.1389E-36
      10.00000   -1.4412E-32   -5.7008E-39   -2.1098E-36
      10.10000   -1.4437E-32   -5.9040E-39   -2.0819E-36
      10.20000   -1.4463E-32   -6.1113E-39   -2.0551E-36
      10.30000   -1.4468E-32   -6.3265E-39   -2.0313E-36
      10.40000   -1.4372E-32   -6.5653E-39   -2.0178E-36
      10.50000   -1.4281E-32   -6.8108E-39   -2.0049E-36
      10.60000   -1.4213E-32   -7.0588E-39   -1.9908E-36
      10.70000   -1.4244E-32   -7.2925E-39   -1.9683E-36
      10.80000   -1.4276E-32   -7.5318E-39   -1.9469E-36
      10.90000   -1.4309E-32   -7.7772E-39   -1.9265E-36
      11.00000   -1.4344E-32   -8.0290E-39   -1.9069E-36
      11.10000   -1.4380E-32   -8.2877E-39   -1.8884E-36
      11.20000   -1.4419E-32   -8.5540E-39   -1.8708E-36
      11.30000   -1.4460E-32   -8.8283E-39   -1.8541E-36
      11.40000   -1.4503E-32   -9.1113E-39   -1.8384E-36
      11.50000   -1.4549E-32   -9.4038E-39   -1.8236E-36
      11.60000   -1.4598E-32   -9.7066E-39   -1.8099E-36
      11.70000   -1.4650E-32   -1.0021E-38   -1.7971E-36
      11.80000   -1.4707E-32   -1.0347E-38   -1.7854E-36
      11.90000   -1.4768E-32   -1.0688E-38   -1.7747E-36
      12.00000   -1.4835E-32   -1.1044E-38   -1.7652E-36
      12.10000   -1.4907E-32   -1.1417E-38   -1.7568E-36
      12.20000   -1.4987E-32   -1.1809E-38   -1.7498E-36
      12.30000   -1.5075E-32   -1.2223E-38   -1.7441E-36
      12.40000   -1.5173E-32   -1.2663E-38   -1.7399E-36
      12.50000   -1.5282E-32   -1.3133E-38   -1.7374E-36
      12.60000   -1.5405E-32   -1.3637E-38   -1.7368E-36
      12.70000   -1.5545E-32   -1.4182E-38   -1.7384E-36
      12.80000   -1.5707E-32   -1.4779E-38   -1.7427E-36
      12.90000   -1.5896E-32   -1.5439E-38   -1.7502E-36
      13.00000   -1.6120E-32   -1.6181E-38   -1.7618E-36
      13.10000   -1.6333E-32   -1.7074E-38   -1.7837E-36
      13.20000   -1.6609E-32   -1.8130E-38   -1.8138E-36
      13.30000   -1.6991E-32   -1.9428E-38   -1.8555E-36
      13.40000   -1.7558E-32   -2.1142E-38   -1.9175E-36
      13.50000   -1.8526E-32   -2.3739E-38   -2.0232E-36
      13.60000   -2.0217E-32   -2.7960E-38   -2.2078E-36
      13.70000   -1.8367E-32   -2.4694E-38   -2.0058E-36
      13.80000   -1.7095E-32   -2.2348E-38   -1.8669E-36
      13.90000   -1.6341E-32   -2.0828E-38   -1.7846E-36
      14.00000   -1.5848E-32   -1.9627E-38   -1.7307E-36
      14.10000   -1.5520E-32   -1.8565E-38   -1.6949E-36
      14.20000   -1.5303E-32   -1.7577E-38   -1.6711E-36
      14.30000   -1.5138E-32   -1.6705E-38   -1.6531E-36
      14.40000   -1.5010E-32   -1.5931E-38   -1.6392E-36
      14.50000   -1.4912E-32   -1.5234E-38   -1.6285E-36
      14.60000   -1.4837E-32   -1.4597E-38   -1.6203E-36
      14.70000   -1.4780E-32   -1.4009E-38   -1.6141E-36
      14.80000   -1.4739E-32   -1.3463E-38   -1.6096E-36
      14.90000   -1.4746E-32   -1.2934E-38   -1.6039E-36
      15.00000   -1.4768E-32   -1.2434E-38   -1.5992E-36
      15.10000   -1.4798E-32   -1.1962E-38   -1.5956E-36
      15.20000   -1.4838E-32   -1.1516E-38   -1.5931E-36
      15.30000   -1.4884E-32   -1.1091E-38   -1.5916E-36
      15.40000   -1.4938E-32   -1.0687E-38   -1.5910E-36
      15.50000   -1.4998E-32   -1.0301E-38   -1.5911E-36
      15.60000   -1.5064E-32   -9.9309E-39   -1.5920E-36
      15.70000   -1.5136E-32   -9.5764E-39   -1.5936E-36
      15.80000   -1.5213E-32   -9.2359E-39   -1.5959E-36
      15.90000   -1.5295E-32   -8.9083E-39   -1.5989E-36
      16.00000   -1.5382E-32   -8.5927E-39   -1.6024E-36
      16.10000   -1.5474E-32   -8.2883E-39   -1.6065E-36
      16.20000   -1.5571E-32   -7.9945E-39   -1.6112E-36
      16.30000   -1.5671E-32   -7.7104E-39   -1.6165E-36
      16.40000   -1.5777E-32   -7.4357E-39   -1.6223E-36
      16.50000   -1.5887E-32   -7.1697E-39   -1.6286E-36
      16.60000   -1.6001E-32   -6.9119E-39   -1.6355E-36
      16.70000   -1.6119E-32   -6.6621E-39   -1.6429E-36
      16.80000   -1.6242E-32   -6.4197E-39   -1.6508E-36
      16.90000   -1.6370E-32   -6.1844E-39   -1.6592E-36
      17.00000   -1.6501E-32   -5.9560E-39   -1.6681E-36
      17.10000   -1.6637E-32   -5.7340E-39   -1.6775E-36
      17.20000   -1.6778E-32   -5.5183E-39   -1.6875E-36
      17.30000   -1.6908E-32   -5.3104E-39   -1.6989E-36
      17.40000   -1.7033E-32   -5.1092E-39   -1.7115E-36
      17.50000   -1.7164E-32   -4.9132E-39   -1.7246E-36
      17.60000   -1.7313E-32   -4.7210E-39   -1.7373E-36
      17.70000   -1.7477E-32   -4.5330E-39   -1.7500E-36
      17.80000   -1.7645E-32   -4.3500E-39   -1.7632E-36
      17.90000   -1.7819E-32   -4.1719E-39   -1.7770E-36
      18.00000   -1.7998E-32   -3.9984E-39   -1.7914E-36
      18.10000   -1.8182E-32   -3.8296E-39   -1.8063E-36
      18.20000   -1.8371E-32   -3.6651E-39   -1.8218E-36
      18.30000   -1.8567E-32   -3.5050E-39   -1.8378E-36
      18.40000   -1.8768E-32   -3.3492E-39   -1.8545E-36
      18.50000   -1.8975E-32   -3.1974E-39   -1.8719E-36
      18.60000   -1.9188E-32   -3.0498E-39   -1.8898E-36
      18.70000   -1.9408E-32   -2.9061E-39   -1.9084E-36
      18.80000   -1.9635E-32   -2.7663E-39   -1.9277E-36
      18.90000   -1.9868E-32   -2.6303E-39   -1.9476E-36
      19.00000   -2.0108E-32   -2.4981E-39   -1.9683E-36
      19.10000   -2.0355E-32   -2.3696E-39   -1.9896E-36
      19.20000   -2.0610E-32   -2.2447E-39   -2.0117E-36
      19.30000   -2.0873E-32   -2.1235E-39   -2.0345E-36
      19.40000   -2.1143E-32   -2.0058E-39   -2.0581E-36
      19.50000   -2.1421E-32   -1.8916E-39   -2.0825E-36
      19.60000   -2.1708E-32   -1.7810E-39   -2.1076E-36
      19.70000   -2.2003E-32   -1.6737E-39   -2.1336E-36
      19.80000   -2.2307E-32   -1.5699E-39   -2.1603E-36
      19.90000   -2.2620E-32   -1.4696E-39   -2.1879E-36
      20.00000   -2.2936E-32   -1.3725E-39   -2.2167E-36
      20.10000   -2.3248E-32   -1.2787E-39   -2.2469E-36
      20.20000   -2.3570E-32   -1.1882E-39   -2.2780E-36
      20.30000   -2.3901E-32   -1.1010E-39   -2.3099E-36
      20.40000   -2.4240E-32   -1.0171E-39   -2.3427E-36
      20.50000   -2.4588E-32   -9.3643E-40   -2.3764E-36
      20.60000   -2.4944E-32   -8.5907E-40   -2.4108E-36
      20.70000   -2.5392E-32   -7.9288E-40   -2.4540E-36
      20.80000   -2.5851E-32   -7.4982E-40   -2.4984E-36
      20.90000   -2.6143E-32   -7.2471E-40   -2.5267E-36
      21.00000   -2.6132E-32   -7.1369E-40   -2.5256E-36
      21.10000   -2.6026E-32   -7.2230E-40   -2.5154E-36
      21.20000   -2.6040E-32   -7.4630E-40   -2.5167E-36
      21.30000   -2.6046E-32   -7.7174E-40   -2.5172E-36
      21.40000   -2.6043E-32   -7.9862E-40   -2.5170E-36
      21.50000   -2.6033E-32   -8.2696E-40   -2.5160E-36
      21.60000   -2.6015E-32   -8.5680E-40   -2.5143E-36
      21.70000   -2.5989E-32   -8.8816E-40   -2.5118E-36
