           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
       9.50000   -1.2001E-31   -1.9097E-38   -3.4123E-35
       9.60000   -1.2144E-31   -1.9589E-38   -3.4346E-35
       9.70000   -1.2287E-31   -2.0101E-38   -3.4566E-35
       9.80000   -1.2431E-31   -2.0631E-38   -3.4783E-35
       9.90000   -1.2575E-31   -2.1181E-38   -3.4997E-35
      10.00000   -1.2719E-31   -2.1751E-38   -3.5208E-35
      10.10000   -1.2863E-31   -2.2342E-38   -3.5416E-35
      10.20000   -1.3008E-31   -2.2953E-38   -3.5622E-35
      10.30000   -1.3153E-31   -2.3586E-38   -3.5825E-35
      10.40000   -1.3296E-31   -2.4242E-38   -3.6027E-35
      10.50000   -1.3439E-31   -2.4923E-38   -3.6227E-35
      10.60000   -1.3581E-31   -2.5629E-38   -3.6426E-35
      10.70000   -1.3724E-31   -2.6358E-38   -3.6623E-35
      10.80000   -1.3867E-31   -2.7112E-38   -3.6818E-35
      10.90000   -1.4010E-31   -2.7889E-38   -3.7011E-35
      11.00000   -1.4153E-31   -2.8692E-38   -3.7201E-35
      11.10000   -1.4297E-31   -2.9521E-38   -3.7390E-35
      11.20000   -1.4441E-31   -3.0376E-38   -3.7577E-35
      11.30000   -1.4586E-31   -3.1259E-38   -3.7763E-35
      11.40000   -1.4731E-31   -3.2170E-38   -3.7946E-35
      11.50000   -1.4876E-31   -3.3111E-38   -3.8129E-35
      11.60000   -1.5022E-31   -3.4081E-38   -3.8310E-35
      11.70000   -1.5169E-31   -3.5083E-38   -3.8489E-35
      11.80000   -1.5316E-31   -3.6118E-38   -3.8668E-35
      11.90000   -1.5463E-31   -3.7187E-38   -3.8845E-35
      12.00000   -1.5612E-31   -3.8291E-38   -3.9022E-35
      12.10000   -1.5761E-31   -3.9433E-38   -3.9198E-35
      12.20000   -1.5911E-31   -4.0614E-38   -3.9373E-35
      12.30000   -1.6061E-31   -4.1836E-38   -3.9547E-35
      12.40000   -1.6213E-31   -4.3103E-38   -3.9721E-35
      12.50000   -1.6366E-31   -4.4416E-38   -3.9895E-35
      12.60000   -1.6520E-31   -4.5779E-38   -4.0068E-35
      12.70000   -1.6676E-31   -4.7198E-38   -4.0242E-35
      12.80000   -1.6833E-31   -4.8676E-38   -4.0417E-35
      12.90000   -1.6992E-31   -5.0219E-38   -4.0592E-35
      13.00000   -1.7153E-31   -5.1838E-38   -4.0768E-35
      13.10000   -1.7316E-31   -5.3545E-38   -4.0946E-35
      13.20000   -1.7482E-31   -5.5358E-38   -4.1128E-35
      13.30000   -1.7652E-31   -5.7301E-38   -4.1313E-35
      13.40000   -1.7828E-31   -5.9415E-38   -4.1505E-35
      13.50000   -1.8013E-31   -6.1789E-38   -4.1707E-35
      13.60000   -1.8215E-31   -6.4585E-38   -4.1928E-35
      13.70000   -1.8399E-31   -6.7054E-38   -4.2129E-35
      13.80000   -1.8570E-31   -6.9289E-38   -4.2315E-35
      13.90000   -1.8733E-31   -7.1372E-38   -4.2494E-35
      14.00000   -1.8892E-31   -7.3334E-38   -4.2667E-35
      14.10000   -1.9047E-31   -7.5191E-38   -4.2836E-35
      14.20000   -1.9200E-31   -7.6949E-38   -4.3003E-35
      14.30000   -1.9351E-31   -7.8619E-38   -4.3169E-35
      14.40000   -1.9501E-31   -8.0212E-38   -4.3333E-35
      14.50000   -1.9650E-31   -8.1736E-38   -4.3495E-35
      14.60000   -1.9799E-31   -8.3195E-38   -4.3657E-35
      14.70000   -1.9947E-31   -8.4596E-38   -4.3819E-35
      14.80000   -2.0094E-31   -8.5943E-38   -4.3980E-35
      14.90000   -2.0241E-31   -8.7236E-38   -4.4140E-35
      15.00000   -2.0389E-31   -8.8479E-38   -4.4300E-35
      15.10000   -2.0537E-31   -8.9676E-38   -4.4460E-35
      15.20000   -2.0686E-31   -9.0827E-38   -4.4619E-35
      15.30000   -2.0834E-31   -9.1936E-38   -4.4778E-35
      15.40000   -2.0984E-31   -9.3005E-38   -4.4937E-35
      15.50000   -2.1134E-31   -9.4035E-38   -4.5096E-35
      15.60000   -2.1284E-31   -9.5028E-38   -4.5256E-35
      15.70000   -2.1436E-31   -9.5986E-38   -4.5415E-35
      15.80000   -2.1588E-31   -9.6909E-38   -4.5575E-35
      15.90000   -2.1741E-31   -9.7800E-38   -4.5734E-35
      16.00000   -2.1895E-31   -9.8659E-38   -4.5895E-35
      16.10000   -2.2049E-31   -9.9488E-38   -4.6055E-35
      16.20000   -2.2205E-31   -1.0029E-37   -4.6216E-35
      16.30000   -2.2362E-31   -1.0106E-37   -4.6378E-35
      16.40000   -2.2520E-31   -1.0180E-37   -4.6540E-35
      16.50000   -2.2678E-31   -1.0252E-37   -4.6703E-35
      16.60000   -2.2838E-31   -1.0321E-37   -4.6867E-35
      16.70000   -2.3000E-31   -1.0388E-37   -4.7031E-35
      16.80000   -2.3162E-31   -1.0452E-37   -4.7196E-35
      16.90000   -2.3326E-31   -1.0514E-37   -4.7362E-35
      17.00000   -2.3491E-31   -1.0573E-37   -4.7529E-35
      17.10000   -2.3657E-31   -1.0631E-37   -4.7697E-35
      17.20000   -2.3825E-31   -1.0686E-37   -4.7865E-35
