           # s        inv_Ta        inv_Tb            Ha            Hb
         # (m)         (1/s)         (1/s)           (m)           (m)
       8.30000    2.1065E-02    0.0000E+00    3.6006E+00    0.0000E+00
       8.40000    2.0547E-02    0.0000E+00    3.6760E+00    0.0000E+00
       8.50000    2.0055E-02    0.0000E+00    3.7516E+00    0.0000E+00
       8.60000    1.9588E-02    0.0000E+00    3.8275E+00    0.0000E+00
       8.70000    1.9144E-02    0.0000E+00    3.9036E+00    0.0000E+00
       8.80000    1.8723E-02    0.0000E+00    3.9799E+00    0.0000E+00
       8.90000    1.8323E-02    0.0000E+00    4.0563E+00    0.0000E+00
       9.00000    1.7943E-02    0.0000E+00    4.1327E+00    0.0000E+00
       9.10000    1.7582E-02    0.0000E+00    4.2091E+00    0.0000E+00
       9.20000    1.7239E-02    0.0000E+00    4.2855E+00    0.0000E+00
       9.30000    1.6914E-02    0.0000E+00    4.3619E+00    0.0000E+00
       9.40000    1.6605E-02    0.0000E+00    4.4381E+00    0.0000E+00
       9.50000    1.6312E-02    0.0000E+00    4.5142E+00    0.0000E+00
       9.60000    1.6034E-02    0.0000E+00    4.5900E+00    0.0000E+00
       9.70000    1.5770E-02    0.0000E+00    4.6657E+00    0.0000E+00
       9.80000    1.5521E-02    0.0000E+00    4.7410E+00    0.0000E+00
       9.90000    1.5284E-02    0.0000E+00    4.8161E+00    0.0000E+00
      10.00000    1.5060E-02    0.0000E+00    4.8908E+00    0.0000E+00
      10.10000    1.4849E-02    0.0000E+00    4.9651E+00    0.0000E+00
      10.20000    1.4649E-02    0.0000E+00    5.0389E+00    0.0000E+00
      10.30000    1.4425E-02    0.0000E+00    5.0998E+00    0.0000E+00
      10.40000    1.4048E-02    0.0000E+00    5.0998E+00    0.0000E+00
      10.50000    1.3693E-02    0.0000E+00    5.0998E+00    0.0000E+00
      10.60000    1.3389E-02    0.0000E+00    5.1117E+00    0.0000E+00
      10.70000    1.3251E-02    0.0000E+00    5.1811E+00    0.0000E+00
      10.80000    1.3123E-02    0.0000E+00    5.2499E+00    0.0000E+00
      10.90000    1.3003E-02    0.0000E+00    5.3181E+00    0.0000E+00
      11.00000    1.2892E-02    0.0000E+00    5.3856E+00    0.0000E+00
      11.10000    1.2791E-02    0.0000E+00    5.4524E+00    0.0000E+00
