            #s         invTz         invTa         invTb
         # (m)         (1/s)         (1/s)         (1/s)
# Element-by-element rates at start of simulation at full current.
# Initial average rates:      -0.0000000     -0.0000000     -0.0000000
     127.32824       -0.000000       -0.000000       -0.000000
     127.56324       -0.000000       -0.000000       -0.000000
     127.79824       -0.000000       -0.000000       -0.000000
     130.26824       -0.000000       -0.000000       -0.000000
     130.50324       -0.000000       -0.000000       -0.000000
     130.73824       -0.000000       -0.000000       -0.000000
     133.20824       -0.000000       -0.000000       -0.000000
     133.44324       -0.000000       -0.000000       -0.000000
     133.67824       -0.000000       -0.000000       -0.000000
     136.14824       -0.000000       -0.000000       -0.000000
     136.38324       -0.000000       -0.000000       -0.000000
     136.61824       -0.000000       -0.000000       -0.000000
     139.08824       -0.000000       -0.000000       -0.000000
     139.32324       -0.000000       -0.000000       -0.000000
     139.55824       -0.000000       -0.000000       -0.000000
     142.02824       -0.000000       -0.000000       -0.000000
     142.26324       -0.000000       -0.000000       -0.000000
     142.49824       -0.000000       -0.000000       -0.000000
     144.96824       -0.000000       -0.000000       -0.000000
     145.20324       -0.000000       -0.000000       -0.000000
     145.43824       -0.000000       -0.000000       -0.000000
     147.90824       -0.000000       -0.000000       -0.000000
     148.14324       -0.000000       -0.000000       -0.000000
     148.37824       -0.000000       -0.000000       -0.000000
     150.84824       -0.000000       -0.000000       -0.000000
     151.08324       -0.000000       -0.000000       -0.000000
     151.31824       -0.000000       -0.000000       -0.000000
     153.78824       -0.000000       -0.000000       -0.000000
     154.02324       -0.000000       -0.000000       -0.000000
     154.25824       -0.000000       -0.000000       -0.000000
     154.92324       -0.000000       -0.000000       -0.000000
     157.35088       -0.000000       -0.000000       -0.000000
     157.65088       -0.000000       -0.000000       -0.000000
     160.07851       -0.000000       -0.000000       -0.000000
     160.74351       -0.000000       -0.000000       -0.000000
     160.97851       -0.000000       -0.000000       -0.000000
     161.21351       -0.000000       -0.000000       -0.000000
     161.87851       -0.000000       -0.000000       -0.000000
     164.30615       -0.000000       -0.000000       -0.000000
     164.60615       -0.000000       -0.000000       -0.000000
     167.03378       -0.000000       -0.000000       -0.000000
     167.69878       -0.000000       -0.000000       -0.000000
     167.93378       -0.000000       -0.000000       -0.000000
     168.16878       -0.000000       -0.000000       -0.000000
     168.83378       -0.000000       -0.000000       -0.000000
     171.26142       -0.000000       -0.000000       -0.000000
     171.56142       -0.000000       -0.000000       -0.000000
     173.98905       -0.000000       -0.000000       -0.000000
     174.65405       -0.000000       -0.000000       -0.000000
     174.88905       -0.000000       -0.000000       -0.000000
     175.12405       -0.000000       -0.000000       -0.000000
     175.78905       -0.000000       -0.000000       -0.000000
     178.21669       -0.000000       -0.000000       -0.000000
     178.51669       -0.000000       -0.000000       -0.000000
     180.94432       -0.000000       -0.000000       -0.000000
     181.60932       -0.000000       -0.000000       -0.000000
     181.84432       -0.000000       -0.000000       -0.000000
     182.07932       -0.000000       -0.000000       -0.000000
     182.74432       -0.000000       -0.000000       -0.000000
     185.17196       -0.000000       -0.000000       -0.000000
     185.47196       -0.000000       -0.000000       -0.000000
     187.89959       -0.000000       -0.000000       -0.000000
     188.56459       -0.000000       -0.000000       -0.000000
     188.79959       -0.000000       -0.000000       -0.000000
     189.03459       -0.000000       -0.000000       -0.000000
     189.69959       -0.000000       -0.000000       -0.000000
     192.12723       -0.000000       -0.000000       -0.000000
     192.42723       -0.000000       -0.000000       -0.000000
     194.85486       -0.000000       -0.000000       -0.000000
     195.51986       -0.000000       -0.000000       -0.000000
     195.75486       -0.000000       -0.000000       -0.000000
     195.98986       -0.000000       -0.000000       -0.000000
     196.65486       -0.000000       -0.000000       -0.000000
     199.08250       -0.000000       -0.000000       -0.000000
     199.38250       -0.000000       -0.000000       -0.000000
     201.81013       -0.000000       -0.000000       -0.000000
     202.47513       -0.000000       -0.000000       -0.000000
     202.71013       -0.000000       -0.000000       -0.000000
     202.94513       -0.000000       -0.000000       -0.000000
     203.61013       -0.000000       -0.000000       -0.000000
     206.03777       -0.000000       -0.000000       -0.000000
     206.33777       -0.000000       -0.000000       -0.000000
     208.76540       -0.000000       -0.000000       -0.000000
     209.43040       -0.000000       -0.000000       -0.000000
     209.66540       -0.000000       -0.000000       -0.000000
     209.90040       -0.000000       -0.000000       -0.000000
     210.56540       -0.000000       -0.000000       -0.000000
     212.99304       -0.000000       -0.000000       -0.000000
     213.29304       -0.000000       -0.000000       -0.000000
     215.72067       -0.000000       -0.000000       -0.000000
     216.38567       -0.000000       -0.000000       -0.000000
     216.62067       -0.000000       -0.000000       -0.000000
     216.85567       -0.000000       -0.000000       -0.000000
     217.52067       -0.000000       -0.000000       -0.000000
     219.94831       -0.000000       -0.000000       -0.000000
     220.24831       -0.000000       -0.000000       -0.000000
     222.67594       -0.000000       -0.000000       -0.000000
     223.34094       -0.000000       -0.000000       -0.000000
     223.57594       -0.000000       -0.000000       -0.000000
     223.81094       -0.000000       -0.000000       -0.000000
     224.47594       -0.000000       -0.000000       -0.000000
     226.90358       -0.000000       -0.000000       -0.000000
     227.20358       -0.000000       -0.000000       -0.000000
     229.63121       -0.000000       -0.000000       -0.000000
     230.29621       -0.000000       -0.000000       -0.000000
     230.53121       -0.000000       -0.000000       -0.000000
     230.76621       -0.000000       -0.000000       -0.000000
     231.43121       -0.000000       -0.000000       -0.000000
     233.85885       -0.000000       -0.000000       -0.000000
     234.15885       -0.000000       -0.000000       -0.000000
     236.58648       -0.000000       -0.000000       -0.000000
     237.25148       -0.000000       -0.000000       -0.000000
     237.48648       -0.000000       -0.000000       -0.000000
     237.72148       -0.000000       -0.000000       -0.000000
     238.38648       -0.000000       -0.000000       -0.000000
     240.81412       -0.000000       -0.000000       -0.000000
     241.11412       -0.000000       -0.000000       -0.000000
     243.54175       -0.000000       -0.000000       -0.000000
     244.20675       -0.000000       -0.000000       -0.000000
     244.44175       -0.000000       -0.000000       -0.000000
     244.67675       -0.000000       -0.000000       -0.000000
     245.34175       -0.000000       -0.000000       -0.000000
     247.76939       -0.000000       -0.000000       -0.000000
     248.06939       -0.000000       -0.000000       -0.000000
     250.49702       -0.000000       -0.000000       -0.000000
     251.16202       -0.000000       -0.000000       -0.000000
     251.39702       -0.000000       -0.000000       -0.000000
     251.63202       -0.000000       -0.000000       -0.000000
     252.29702       -0.000000       -0.000000       -0.000000
     254.72466       -0.000000       -0.000000       -0.000000
     255.02466       -0.000000       -0.000000       -0.000000
     257.45229       -0.000000       -0.000000       -0.000000
     258.11729       -0.000000       -0.000000       -0.000000
     258.35229       -0.000000       -0.000000       -0.000000
     258.58729       -0.000000       -0.000000       -0.000000
     259.25229       -0.000000       -0.000000       -0.000000
     261.67993       -0.000000       -0.000000       -0.000000
