   20000.000000000000        439.90859035218040        3.8092642350540697        6.9375126778895555E-004   6.7949772298502844E-004  -6.8586732874555188E-004   5606.0000000000000       -1.0997849922617507E-004   6.9765458422174840        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -6.3329895195579633E-004  -3.8523434682525115E-002   1.0000000000000000        3.2517940716548046     
   40000.000000000000        428.25553313422319        2.5281101805286657        4.5991485477056587E-004   4.5048292596733172E-004  -6.2243915324670712E-004   5612.0000000000000       -2.4059968127244453E-005   6.9829424307036243        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -5.9567537500748377E-004  -3.8578348583811338E-002   1.0000000000000000        3.1656549436426173     
   60000.000000000000        419.34441086662025        2.6981494399131178        4.9030546184941745E-004   4.8026867922981806E-004  -5.7592299183810512E-004   5618.0000000000000        4.1796339741577716E-005   6.9893390191897655        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -5.5815504919438583E-004  -3.8633113193491081E-002   1.0000000000000000        3.0997841350312560     
   80000.000000000000        408.15264980758332        4.2944692711254202        7.7952502921104861E-004   7.6359695432528813E-004  -5.3970640191649860E-004   5624.0000000000000        1.2421608275240583E-004   6.9957356076759059        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -5.2073759705629011E-004  -3.8687729050903848E-002   1.0000000000000000        3.0170548975002998     
   100000.00000000000        389.39542164714686        8.0034762316078005        1.4511743650047172E-003   1.4215765953122204E-003  -5.1362315486503296E-004   5630.0000000000000        2.6016274734256699E-004   7.0021321961620471        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -4.8342264285625158E-004  -3.8742196692962000E-002   1.0000000000000000        2.8784019030589936     
   120000.00000000000        354.45409348270567        15.370980728495637        2.7839628102336849E-003   2.7272854379871603E-003  -5.0251032299123658E-004   5636.0000000000000        4.9816070179493845E-004   7.0085287846481874        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -4.4620981257123549E-004  -3.8796516654163775E-002   1.0000000000000000        2.6201164176814249     
   140000.00000000000        286.06145465141094        28.827888505178187        5.2155022359158835E-003   5.1095158640868821E-003  -5.1725760850962216E-004   5642.0000000000000        8.5576776701741357E-004   7.0149253731343286        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -4.0909873388265267E-004  -3.8850689466606310E-002   1.0000000000000000        2.1145596216243505     
   160000.00000000000        150.86310982647657        47.931035249905115        8.6620781787030109E-003   8.4863730966545890E-003  -5.7499666767953507E-004   5648.0000000000000        8.9798850919656106E-004   7.0213219616204690        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -3.7208903616714126E-004  -3.8904715659998486E-002   1.0000000000000000        1.1151766001486831     
   180000.00000000000       -68.617633903152694        53.538195800178705        9.6647704740296849E-003   9.4690830916481609E-003  -6.7264275270733655E-004   5654.0000000000000       -4.8574909400193119E-004   7.0277185501066102        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -3.3518035048723041E-004  -3.8958595761673799E-002   1.0000000000000000      -0.50721995439693224     
   200000.00000000000       -257.18152985018662        36.059665646170991        6.5023832886325827E-003   6.3709656618676667E-003  -6.7541752755591170E-004   5660.0000000000000       -9.4595041914752743E-004   7.0341151385927505        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -2.9837230958220870E-004  -3.9012330296603066E-002   1.0000000000000000       -1.9010798889751779     
   220000.00000000000       -344.92769643934571        20.833775485606395        3.7526878439526983E-003   3.6769812011306735E-003  -5.1568613183965118E-004   5666.0000000000000       -5.5793477291399306E-004   7.0405117270788908        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -2.6166454785895438E-004  -3.9065919787407082E-002   1.0000000000000000       -2.5496975122333008     
   240000.00000000000       -381.65525930484409        12.265747187313995        2.2069504989311968E-003   2.1625083193430880E-003  -3.7185946595972539E-004   5672.0000000000000       -3.1495178246273957E-004   7.0469083155650321        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -2.2505670138285236E-004  -3.9119364754369224E-002   1.0000000000000000       -2.8211868029896912     
   260000.00000000000       -397.69691583084187        7.2064331318739940        1.2952201655203872E-003   1.2691851236128909E-003  -2.7500054201397766E-004   5678.0000000000000       -2.0045889264418975E-004   7.0533049040511724        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -1.8854840786880489E-004  -3.9172665715447925E-002   1.0000000000000000       -2.9397663550484507     
   280000.00000000000       -404.37367806221022        3.7343292265722643        6.7044170592950596E-004   6.5698965984733711E-004  -2.0294538387226449E-004   5684.0000000000000       -1.5188174486697491E-004   7.0597014925373136        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -1.5213930667224568E-004  -3.9225823186289088E-002   1.0000000000000000       -2.9891208262226341     
   300000.00000000000       -406.34903095940962       0.87131726375137186        1.5626094582889838E-004   1.5313132930604075E-004  -1.4216320972150107E-004   5690.0000000000000       -1.3743370368654413E-004   7.0660980810234539        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -1.1582903878023382E-004  -3.9278837680238494E-002   1.0000000000000000       -3.0037225889101884     
   320000.00000000000       -406.08750412371899       -1.8789950386240644       -3.3660921512414352E-004  -3.2987974694944949E-004  -8.5763256962694828E-005   5696.0000000000000       -1.3934830176962380E-004   7.0724946695095952        7.0866198691007671        1.9912313669919971E-002  -6.8721681833267212E-002  -7.9617246802599767E-005  -3.9331709708354007E-002   1.0000000000000000       -3.0017893886214728     
