  0.3430E+00  0.3182E+00
 -0.2633E-01  0.4099E+00
 -0.2070E+00  0.3745E+00
 -0.2932E+00  0.3104E+00
 -0.3290E+00  0.2468E+00
 -0.3369E+00  0.1920E+00
 -0.3286E+00  0.1471E+00
 -0.3110E+00  0.1114E+00
 -0.2879E+00  0.8341E-01
 -0.2617E+00  0.6180E-01
 -0.2338E+00  0.4531E-01
 -0.2050E+00  0.3288E-01
 -0.1757E+00  0.2360E-01
 -0.1464E+00  0.1673E-01
 -0.1170E+00  0.1165E-01
 -0.8764E-01  0.7848E-02
 -0.5839E-01  0.4876E-02
 -0.2918E-01  0.2365E-02
  0.1003E-01 -0.8288E-03
  0.2919E-01 -0.2487E-02
  0.5841E-01 -0.5324E-02
  0.8768E-01 -0.8706E-02
  0.1170E+00 -0.1279E-01
  0.1464E+00 -0.1773E-01
  0.1757E+00 -0.2361E-01
  0.2051E+00 -0.3052E-01
  0.2343E+00 -0.3852E-01
  0.2634E+00 -0.4766E-01
  0.2922E+00 -0.5793E-01
  0.3205E+00 -0.6934E-01
  0.3483E+00 -0.8185E-01
  0.3753E+00 -0.9542E-01
  0.4014E+00 -0.1100E+00
  0.4264E+00 -0.1255E+00
  0.4499E+00 -0.1418E+00
  0.4718E+00 -0.1588E+00
  0.4918E+00 -0.1765E+00
