@ NAME             %03s "IBS"
@ TYPE             %03s "IBS"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "27/01/26"
@ TIME             %08s "16.10.05"
* NAME                                S               DELS                TLI                TXI                TYI               BETX               ALFX                 DX                DPX               BETY               ALFY                 DY                DPY 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "C_SPD"                          2.625               5.25     -0.05150825389      0.02939195655      0.03158114904        23.68615934       -4.397814957     -0.01034352915    -0.004286599965        23.69257801       -4.399388384     -0.04209464709    -0.001584055167
 "HQFF"                            5.25                  0      -0.2456330316       0.2704770184       0.2746312728        46.77468787       -8.790284229     -0.02159585406    -0.004286599965        46.78936703       -8.805510388      -0.0462527919    -0.001584055167
 "QFF6W"                          5.725               0.95      -0.2640387354       0.6763234066       0.1205016208        68.66378141       -25.95397389     -0.02593564897    -0.009430666425         45.8324243       0.8731822778     -0.04260342092     0.007432214396
 "HQFF"                             6.2                  0      -0.2686785093        1.084375019      0.03261408369        90.55287496       -43.11766355     -0.03027544387     -0.01457473289        44.87548158        10.55187494     -0.03895404994      0.01644848396
 "OO1"                           6.3575              0.315      -0.2662884845        1.411485205     -0.03472873969        105.1540766       -46.35302117      -0.0325709643     -0.01457473289        41.67584177        10.15758669     -0.03636341372      0.01644848396
 "HQFF"                           6.515                  0      -0.2624640946        1.757908288     -0.08729281315        119.7552783       -49.58837878     -0.03486648473     -0.01457473289        38.47620196        9.763298439     -0.03377277749      0.01644848396
 "QFF5W"                          7.225               1.42      -0.2632623964        1.922392617     -0.08149573059        132.5662247       -6.238266165     -0.03672414899    -0.002423817384        40.59727701       -1.903904429     -0.02822336401     0.008375004487
 "HQFF"                           7.935                  0      -0.2640080918        2.077280194     -0.07788979752        145.3771712        37.11184645     -0.03858181324     0.009727098117        42.71835205        -13.5711073     -0.02267395054    0.0003015250165
 "OO2"                           8.3025              0.735       -0.273362643        1.420375633      0.06047492705        120.6608415        33.62765937     -0.03500710468     0.009727098117        53.86399604       -15.16414149     -0.02256314009    0.0003015250165
 "HQFF"                            8.67                  0      -0.2787988021       0.8839486218        0.255625318        95.94451189        30.14347229     -0.03143239612     0.009727098117        65.00964004       -16.75717568     -0.02245232965    0.0003015250165
 "QFF4W"                           9.01               0.68       -0.279967595       0.6788895522       0.3644812208        85.18399645        16.86392516     -0.02960959954     0.005450092213        69.81350721       -6.587853233     -0.02125075563     0.003475030472
 "HQFF"                            9.35                  0      -0.2799004962       0.4882193418       0.4951292912        74.42348101        3.584378036     -0.02778680296     0.001173086309        74.61737438        3.581469211     -0.02004918162     0.006648535927
